iter	RMSE
0	0.4761556994
1	0.4128838156
2	0.3709088396
3	0.3427799071
4	0.3223705022
5	0.3085295868
6	0.2981719562
7	0.2875688807
8	0.2830282057
9	0.278454578
10	0.2729579693
11	0.2673457354
12	0.2630993903
13	0.2610258827
14	0.25748577
15	0.2543571949
16	0.2524566795
17	0.2509023862
18	0.2484874331
19	0.2463145589
20	0.2435484068
21	0.2418982962
22	0.2404021691
23	0.239388695
24	0.2382368798
25	0.2370641635
26	0.2354080764
27	0.2345729761
28	0.2331313567
29	0.2323444038
30	0.2310270396
31	0.2299129476
32	0.2290663732
33	0.2280647107
34	0.2271102958
35	0.2263811619
36	0.2252586988
37	0.2245616821
38	0.2236116245
39	0.2222006577
40	0.2214101394
41	0.2208229929
42	0.2197369924
43	0.2189366143
44	0.2178074637
45	0.2167883986
46	0.2161890758
47	0.2152927689
48	0.214495603
49	0.213770917
50	0.2130690128
51	0.2124122505
52	0.2119210385
53	0.2107028294
54	0.2098884502
55	0.209139135
56	0.2084424807
57	0.2075899221
58	0.206931479
59	0.2056948447
60	0.2051902357
61	0.2046329591
62	0.2039717242
63	0.2032401475
64	0.2024735992
65	0.2016667963
66	0.2009946356
67	0.2003696298
68	0.1997634931
69	0.1990500547
70	0.1983787108
71	0.1978562296
72	0.1971965912
73	0.1965421541
74	0.1960534668
75	0.195405618
76	0.1947556779
77	0.1943058782
78	0.1935853512
79	0.1931996115
80	0.1927897528
81	0.1922429199
82	0.1917532779
83	0.1913004155
84	0.1908693944
85	0.1901780519
86	0.1896868483
87	0.1890032367
88	0.1885379353
89	0.1880892163
90	0.1874221885
91	0.1869606402
92	0.1865694115
93	0.1861373089
94	0.1859137687
95	0.1855901741
96	0.1852302435
97	0.1848187762
98	0.1844184968
99	0.183993841
100	0.1836863968
101	0.1831608244
102	0.1827626649
103	0.1824018365
104	0.1821701053
105	0.1818623518
106	0.1812470583
107	0.1808946967
108	0.1805217406
109	0.1801611402
110	0.1798339639
111	0.179611577
112	0.179311044
113	0.1789342398
114	0.1786977521
115	0.1783132682
116	0.1780657514
117	0.1776706108
118	0.1774163258
119	0.1770189037
120	0.1765922568
121	0.1763095633
122	0.1760477666
123	0.1758883013
124	0.1754896545
125	0.17486055
126	0.1744388658
127	0.1739483653
128	0.1734318672
129	0.1731841899
130	0.1728094879
131	0.1725445808
132	0.1721654606
133	0.1719144114
134	0.171440917
135	0.1710169667
136	0.170733786
137	0.1704704847
138	0.1703082551
139	0.1698424374
140	0.1694568325
141	0.1691349596
142	0.1686502044
143	0.1683085273
144	0.1681259621
145	0.1680112057
146	0.1675558146
147	0.1672602322
148	0.1668700866
149	0.1664914773
150	0.1661954354
151	0.1658615486
152	0.1654841263
153	0.1650419773
154	0.1647899822
155	0.1643228402
156	0.1641412294
157	0.1637349075
158	0.1635935593
159	0.1632894912
160	0.1630356618
161	0.1628411765
162	0.162516269
163	0.1622744304
164	0.162188113
165	0.1618703608
166	0.1615901733
167	0.1613818482
168	0.1611873479
169	0.1611280815
170	0.1607592257
171	0.1605293386
172	0.1602750252
173	0.1599463368
174	0.1597506561
175	0.1594761041
176	0.1592512298
177	0.1591910479
178	0.1589519163
179	0.1587846489
180	0.1584252808
181	0.1581882831
182	0.1578237141
183	0.1575739481
184	0.157303831
185	0.156929422
186	0.1565677569
187	0.1561654733
188	0.1558710072
189	0.1556719305
190	0.15521056
191	0.1549784151
192	0.1546675605
193	0.154361258
194	0.1540906142
195	0.1538635231
196	0.153682863
197	0.1536163699
198	0.1533788539
199	0.153105654
200	0.1528610891
201	0.1526225399
202	0.152347253
203	0.1520656045
204	0.1517589765
205	0.1515531568
206	0.1512862952
207	0.1511266537
208	0.1509549382
209	0.1507052512
210	0.1506287602
211	0.1504217955
212	0.1501690096
213	0.1498950844
214	0.1495552395
215	0.1492909123
216	0.1490791305
217	0.148822771
218	0.148547805
219	0.1483305071
220	0.1481032567
221	0.1478174306
222	0.1476135236
223	0.1474437531
224	0.1472225137
225	0.1469746594
226	0.1468233435
227	0.1465847645
228	0.1464198141
229	0.1462165608
230	0.1459912167
231	0.1459037011
232	0.1456871778
233	0.1454915154
234	0.1453819958
235	0.1452911922
236	0.1450812426
237	0.1448508282
238	0.1446270047
239	0.1443299322
240	0.1442447363
241	0.1439818797
242	0.1437293812
243	0.1434950291
244	0.1432556497
245	0.143079565
246	0.1427705096
247	0.142585242
248	0.1424003574
249	0.1421258235
250	0.1420044283
251	0.141832309
252	0.1415907112
253	0.1412568836
254	0.1409202825
255	0.1407625668
256	0.1406402323
257	0.1404782055
258	0.1402177953
259	0.1401175514
260	0.1399555616
261	0.1397914657
262	0.1397212802
263	0.1395933499
264	0.1394422763
265	0.1392382078
266	0.1390354465
267	0.1387999884
268	0.1386206447
269	0.1384673389
270	0.1380830647
271	0.1379077532
272	0.1377300003
273	0.1375813868
274	0.1374055159
275	0.1371818597
276	0.1369748292
277	0.1366957928
278	0.1364483287
279	0.1362461302
280	0.1360545001
281	0.1358791362
282	0.1357808135
283	0.1355647408
284	0.1353923058
285	0.1352399016
286	0.1350836949
287	0.134945733
288	0.1347816094
289	0.1345501966
290	0.1344346494
291	0.1341577716
292	0.133932631
