iter	Passed	Remaining
0	3	1108
1	7	1049
2	11	1103
3	15	1093
4	18	1087
5	22	1065
6	25	1051
7	29	1034
8	32	1012
9	35	1009
10	38	997
11	42	996
12	45	988
13	49	977
14	52	974
15	55	964
16	58	957
17	62	950
18	65	942
19	69	942
20	72	935
21	75	934
22	79	929
23	82	924
24	85	919
25	89	914
26	92	907
27	95	901
28	98	896
29	101	890
30	104	884
31	107	880
32	111	877
33	114	871
34	117	867
35	120	863
36	124	859
37	127	854
38	130	849
39	133	846
40	137	842
41	140	838
42	143	836
43	147	835
44	150	832
45	154	828
46	157	826
47	161	822
48	164	817
49	167	813
50	170	808
51	173	804
52	176	800
53	179	796
54	183	792
55	186	788
56	189	783
57	192	780
58	195	776
59	199	772
60	202	768
61	205	764
62	208	762
63	211	758
64	215	755
65	219	753
66	222	750
67	225	747
68	229	744
69	233	742
70	236	739
71	239	735
72	243	732
73	246	728
74	249	725
75	252	721
76	255	717
77	258	713
78	262	710
79	265	706
80	268	702
81	271	698
82	275	695
83	278	692
84	281	689
85	284	685
86	288	682
87	291	678
88	294	675
89	297	671
90	300	667
91	303	663
92	307	660
93	310	657
94	313	653
95	317	650
96	320	647
97	323	644
98	326	640
99	330	637
100	333	634
101	337	631
102	340	628
103	343	625
104	347	621
105	350	618
106	353	614
107	356	611
108	359	607
109	363	604
110	366	600
111	369	596
112	372	593
113	375	589
114	378	586
115	382	582
116	385	579
117	388	575
118	391	572
119	394	568
120	397	565
121	401	562
122	404	558
123	407	555
124	411	552
125	414	548
126	417	545
127	420	542
128	424	539
129	427	535
130	430	532
131	434	529
132	437	526
133	441	524
134	445	521
135	449	518
136	452	514
137	455	511
138	458	508
139	461	504
140	464	501
141	467	497
142	471	494
143	474	491
144	477	487
145	481	484
146	484	481
147	487	477
148	491	474
149	494	471
150	497	467
151	500	464
152	503	460
153	507	458
154	510	454
155	513	451
156	516	447
157	520	444
158	523	441
159	527	438
160	530	434
161	533	431
162	536	428
163	540	425
164	543	421
165	546	418
166	549	414
167	553	411
168	556	408
169	559	405
170	563	401
171	566	398
172	569	395
173	573	392
174	576	388
175	579	385
176	582	381
177	586	378
178	589	375
179	592	371
180	595	368
181	599	365
182	602	362
183	605	358
184	609	355
185	612	352
186	615	349
187	618	345
188	622	342
189	625	339
190	628	335
191	632	332
192	635	329
193	639	326
194	642	322
195	645	319
196	648	316
197	652	312
198	655	309
199	658	306
200	662	303
201	665	299
202	668	296
203	671	293
204	674	289
205	678	286
206	681	283
207	684	279
208	688	276
209	691	273
210	694	269
211	697	266
212	700	263
213	704	259
214	707	256
215	710	253
216	713	250
217	717	246
218	721	243
219	724	240
220	727	237
221	731	233
222	734	230
223	737	227
224	740	223
225	744	220
226	747	217
227	750	213
228	753	210
229	756	207
230	759	203
231	763	200
232	766	197
233	769	194
234	772	190
235	775	187
236	778	184
237	781	180
238	784	177
239	788	174
240	791	170
241	794	167
242	797	164
243	800	160
244	804	157
245	807	154
246	810	150
247	813	147
248	817	144
249	820	141
250	823	137
251	827	134
252	830	131
253	834	128
254	838	124
255	841	121
256	844	118
257	847	114
258	851	111
259	855	108
260	858	105
261	861	101
262	865	98
263	868	95
264	871	92
265	874	88
266	878	85
267	881	82
268	884	78
269	887	75
270	890	72
271	893	68
272	896	65
273	899	62
274	903	59
275	906	55
276	909	52
277	912	49
278	916	45
279	919	42
280	922	39
281	925	36
282	928	32
283	931	29
284	935	26
285	938	22
286	941	19
287	944	16
288	948	13
289	951	9
290	954	6
291	957	3
292	960	0
